Sample ID,Comment,Section,Applied limit,Antenna Position,Frequency (MHz),S R,Mesure (dBµV/m),Detector type,Limit Peak (dBµV/m),Margin (dB),Polarization,Correction (dB),Conformity,Overtaking (dB),Limite (dBµV/m),Configuration,Limit Q-Peak (dBµV/m),Limit Avg (dBµV/m)
CRE2-2025-TP020-07,-,Peak,RNDS-C-00517 V4.0,1 (X),0.33,1.0,45.78,Peak,62.0,16,Vertical,9.84,OK,-,-,ER_In front of harness RBW 9kHz,,
CRE2-2025-TP020-07,-,Q-Peak,RNDS-C-00517 V4.0,1 (X),0.5505,1.0,35.52,Q-Peak,,5,Vertical,9.85,OK,-,-,ER_In front of harness RBW 9kHz,41.0,
CRE2-2025-TP020-07,-,CISPR.AVG,RNDS-C-00517 V4.0,1 (X),160.464,5.0,-0.14,CISPR.AVG,,2,Horizontal,14.97,OK,-,-,ER_In front of harness RBW 9kHz,,2.0
CRE2-2025-TP020-07,-,Peak,RNDS-C-00517 V4.0,1 (X),465.8,2.0,18.58,Peak,39.0,20,Vertical,-8.53,OK,-,-,ER_In front of harness RBW 120kHz,,
CRE2-2025-TP020-07,-,Q-Peak,RNDS-C-00517 V4.0,1 (X),120.0,1.0,8.51,Q-Peak,,10,Vertical,-17.8,OK,-,-,ER_In front of harness RBW 120kHz,19.0,
CRE2-2025-TP020-07,-,CISPR.AVG,RNDS-C-00517 V4.0,1 (X),120.0,1.0,3.22,CISPR.AVG,,8,Vertical,-17.8,OK,-,-,ER_In front of harness RBW 120kHz,,12.0
CRE2-2025-TP020-07,-,Peak,RNDS-C-00517 V4.0,1 (X),938.5,2.0,33.06,Peak,51.0,17,Vertical,-2.87,OK,-,-,ER_In front of harness RBW 1MHz,,
CRE2-2025-TP020-07,-,CISPR.AVG,RNDS-C-00517 V4.0,1 (X),241.0,2.0,13.03,CISPR.AVG,,2,Vertical,-14.5,OK,-,-,ER_In front of harness RBW 1MHz,,16.0
CRE2-2025-TP020-07,-,CISPR.AVG,RNDS-C-00517 V4.0,2 (X),1604.57225,1.0,7.34,CISPR.AVG,,12,Vertical,21.57,OK,-,-,ER_in front of DUT 9kHz GNSS,,20.0
CRE2-2025-TP020-07,-,Peak,RNDS-C-00517 V4.0,2 (X),2138.0,2.0,40.18,Peak,51.0,10,Vertical,8.81,OK,-,-,ER_In front of DUT RBW 1MHz,,
CRE2-2025-TP020-07,-,CISPR.AVG,RNDS-C-00517 V4.0,2 (X),2137.5,2.0,26.11,CISPR.AVG,,4,Vertical,8.81,OK,-,-,ER_In front of DUT RBW 1MHz,,31.0
